League,Home Team,Away Team,Total Games,Average Goals For Home,Average Goals For Away,Home Win %,Draw %,Away Win %,BTTS %,BTTS Home Win %,BTTS Away Win %,BTTS Draw %,BTTS No Draw %,Over 0.5 Goals %,Over 1.5 Goals %,Over 2.5 Goals %,Over 3.5 Goals %,Over 4.5 Goals %
Portugal Primerira Liga,Sp Braga,Farense,9,1.78,0.56,0.6667,0.3333,0.0,0.3333,0.2222,0.0,0.1111,0.2222,0.7778,0.5556,0.5556,0.3333,0.1111
Portugal Primerira Liga,Moreirense,Farense,1,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Portugal Primerira Liga,Chaves,Farense,1,4.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
Portugal Primerira Liga,Boavista,Farense,9,1.67,0.78,0.5556,0.3333,0.1111,0.5556,0.2222,0.0,0.3333,0.2222,1.0,0.7778,0.5556,0.1111,0.0
Portugal Primerira Liga,Guimaraes,Farense,9,2.0,0.56,0.8889,0.1111,0.0,0.3333,0.2222,0.0,0.1111,0.2222,1.0,0.6667,0.4444,0.3333,0.1111
Portugal Primerira Liga,Portimonense,Farense,1,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Portugal Primerira Liga,Benfica,Farense,9,3.11,1.0,0.8889,0.0,0.1111,0.6667,0.6667,0.0,0.0,0.6667,1.0,0.8889,0.8889,0.5556,0.4444
Portugal Primerira Liga,Sp Lisbon,Famalicao,3,1.33,1.33,0.3333,0.3333,0.3333,1.0,0.3333,0.3333,0.3333,0.6667,1.0,1.0,0.6667,0.0,0.0
Portugal Primerira Liga,Sp Braga,Famalicao,3,2.33,1.0,0.6667,0.3333,0.0,0.6667,0.3333,0.0,0.3333,0.3333,1.0,0.6667,0.6667,0.6667,0.3333
Portugal Primerira Liga,Moreirense,Famalicao,2,2.0,0.5,0.5,0.5,0.0,0.5,0.0,0.0,0.5,0.0,1.0,1.0,0.5,0.0,0.0
Portugal Primerira Liga,Chaves,Famalicao,1,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Portugal Primerira Liga,Casa Pia,Famalicao,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Portugal Primerira Liga,Boavista,Famalicao,3,1.33,1.0,0.3333,0.0,0.6667,0.3333,0.0,0.3333,0.0,0.3333,1.0,0.6667,0.6667,0.0,0.0
Portugal Primerira Liga,Guimaraes,Famalicao,3,1.67,1.67,0.3333,0.3333,0.3333,1.0,0.3333,0.3333,0.3333,0.6667,1.0,1.0,0.6667,0.3333,0.3333
Portugal Primerira Liga,Estoril,Famalicao,1,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Portugal Primerira Liga,Portimonense,Famalicao,3,1.0,0.33,0.6667,0.3333,0.0,0.3333,0.3333,0.0,0.0,0.3333,0.6667,0.3333,0.3333,0.0,0.0
Portugal Primerira Liga,Vizela,Famalicao,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Portugal Primerira Liga,Benfica,Famalicao,3,2.67,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.3333,0.3333,0.0
Portugal Primerira Liga,Arouca,Famalicao,1,4.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
Portugal Primerira Liga,Sp Braga,Sp Lisbon,28,1.32,1.46,0.4643,0.0357,0.5,0.3929,0.1786,0.1786,0.0357,0.3571,1.0,0.6429,0.5,0.3214,0.25
Portugal Primerira Liga,Moreirense,Sp Lisbon,11,1.0,1.82,0.0909,0.3636,0.5455,0.7273,0.0,0.4545,0.2727,0.4545,0.9091,0.7273,0.5455,0.4545,0.1818
Portugal Primerira Liga,Chaves,Sp Lisbon,5,1.6,2.4,0.0,0.4,0.6,1.0,0.0,0.6,0.4,0.6,1.0,1.0,1.0,0.8,0.2
Portugal Primerira Liga,Casa Pia,Sp Lisbon,1,3.0,4.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
Portugal Primerira Liga,Boavista,Sp Lisbon,22,1.05,1.32,0.3182,0.3182,0.3636,0.5909,0.1818,0.1818,0.2273,0.3636,0.9091,0.7273,0.5,0.2273,0.0
Portugal Primerira Liga,Guimaraes,Sp Lisbon,27,0.89,1.63,0.1481,0.3333,0.5185,0.4444,0.0,0.1852,0.2593,0.1852,0.9259,0.6667,0.4074,0.2963,0.1481
Portugal Primerira Liga,Estoril,Sp Lisbon,8,1.0,1.5,0.25,0.25,0.5,0.5,0.125,0.25,0.125,0.375,0.875,0.875,0.375,0.25,0.125
Portugal Primerira Liga,Portimonense,Sp Lisbon,6,1.17,2.17,0.1667,0.0,0.8333,0.6667,0.1667,0.5,0.0,0.6667,1.0,0.8333,0.6667,0.5,0.1667
Portugal Primerira Liga,Vizela,Sp Lisbon,1,1.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
Portugal Primerira Liga,Benfica,Sp Lisbon,28,1.43,0.96,0.4643,0.3929,0.1429,0.4643,0.1071,0.1071,0.25,0.2143,0.8571,0.75,0.3929,0.2143,0.0714
Portugal Primerira Liga,Arouca,Sp Lisbon,5,0.8,1.6,0.2,0.0,0.8,0.6,0.0,0.6,0.0,0.6,1.0,0.6,0.6,0.2,0.0
Portugal Primerira Liga,Moreirense,Sp Braga,11,0.91,1.45,0.2727,0.2727,0.4545,0.4545,0.1818,0.1818,0.0909,0.3636,0.8182,0.6364,0.5455,0.2727,0.0909
Portugal Primerira Liga,Chaves,Sp Braga,5,0.6,1.8,0.0,0.2,0.8,0.6,0.0,0.6,0.0,0.6,0.8,0.6,0.6,0.2,0.2
Portugal Primerira Liga,Casa Pia,Sp Braga,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Portugal Primerira Liga,Boavista,Sp Braga,22,1.36,1.0,0.3636,0.4091,0.2273,0.5,0.1364,0.1818,0.1818,0.3182,0.7727,0.6364,0.4545,0.2273,0.1364
Portugal Primerira Liga,Guimaraes,Sp Braga,27,1.0,0.89,0.4815,0.2593,0.2593,0.3333,0.1852,0.0,0.1481,0.1852,0.8889,0.4815,0.2222,0.1111,0.1111
Portugal Primerira Liga,Estoril,Sp Braga,8,0.75,2.0,0.375,0.0,0.625,0.375,0.25,0.125,0.0,0.375,1.0,0.75,0.5,0.25,0.125
Portugal Primerira Liga,Portimonense,Sp Braga,6,0.5,1.5,0.0,0.3333,0.6667,0.5,0.0,0.3333,0.1667,0.3333,0.8333,0.6667,0.5,0.0,0.0
Portugal Primerira Liga,Vizela,Sp Braga,1,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
Portugal Primerira Liga,Benfica,Sp Braga,28,1.93,0.71,0.6429,0.2857,0.0714,0.5,0.25,0.0357,0.2143,0.2857,0.9286,0.6786,0.4643,0.2857,0.1429
Portugal Primerira Liga,Arouca,Sp Braga,5,0.4,1.6,0.2,0.4,0.4,0.2,0.0,0.0,0.2,0.0,0.8,0.4,0.2,0.2,0.2
Portugal Primerira Liga,Chaves,Moreirense,3,2.0,1.0,0.6667,0.0,0.3333,0.6667,0.3333,0.3333,0.0,0.6667,1.0,1.0,1.0,0.0,0.0
Portugal Primerira Liga,Boavista,Moreirense,10,1.2,0.7,0.6,0.2,0.2,0.3,0.2,0.0,0.1,0.2,0.9,0.5,0.3,0.2,0.0
Portugal Primerira Liga,Guimaraes,Moreirense,11,1.55,0.36,0.7273,0.2727,0.0,0.3636,0.1818,0.0,0.1818,0.1818,0.9091,0.5455,0.2727,0.0909,0.0909
Portugal Primerira Liga,Estoril,Moreirense,6,1.5,0.5,0.6667,0.1667,0.1667,0.1667,0.0,0.0,0.1667,0.0,1.0,1.0,0.0,0.0,0.0
Portugal Primerira Liga,Portimonense,Moreirense,4,1.5,2.0,0.25,0.25,0.5,0.75,0.25,0.25,0.25,0.5,1.0,1.0,0.5,0.25,0.25
Portugal Primerira Liga,Benfica,Moreirense,11,1.91,0.91,0.6364,0.2727,0.0909,0.6364,0.2727,0.0909,0.2727,0.3636,1.0,0.9091,0.4545,0.3636,0.0909
Portugal Primerira Liga,Arouca,Moreirense,3,1.33,2.0,0.0,0.3333,0.6667,1.0,0.0,0.6667,0.3333,0.6667,1.0,1.0,1.0,0.3333,0.0
Portugal Primerira Liga,Casa Pia,Chaves,1,1.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
Portugal Primerira Liga,Boavista,Chaves,5,2.2,1.8,0.2,0.6,0.2,1.0,0.2,0.2,0.6,0.4,1.0,1.0,0.8,0.6,0.4
Portugal Primerira Liga,Guimaraes,Chaves,5,3.2,1.0,0.8,0.2,0.0,0.8,0.6,0.0,0.2,0.6,1.0,1.0,0.8,0.6,0.4
Portugal Primerira Liga,Estoril,Chaves,3,0.67,1.67,0.3333,0.0,0.6667,0.3333,0.3333,0.0,0.0,0.3333,1.0,1.0,0.3333,0.0,0.0
Portugal Primerira Liga,Portimonense,Chaves,3,0.33,0.67,0.3333,0.0,0.6667,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Portugal Primerira Liga,Vizela,Chaves,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Portugal Primerira Liga,Benfica,Chaves,5,3.8,0.4,1.0,0.0,0.0,0.4,0.4,0.0,0.0,0.4,1.0,1.0,1.0,0.8,0.4
Portugal Primerira Liga,Arouca,Chaves,2,0.5,0.5,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Portugal Primerira Liga,Boavista,Casa Pia,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Portugal Primerira Liga,Guimaraes,Casa Pia,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Portugal Primerira Liga,Estoril,Casa Pia,1,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Portugal Primerira Liga,Portimonense,Casa Pia,1,1.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
Portugal Primerira Liga,Vizela,Casa Pia,1,3.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
Portugal Primerira Liga,Benfica,Casa Pia,1,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
Portugal Primerira Liga,Arouca,Casa Pia,1,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Portugal Primerira Liga,Guimaraes,Boavista,21,1.67,1.05,0.5714,0.2381,0.1905,0.5714,0.1905,0.1429,0.2381,0.3333,1.0,0.9048,0.4286,0.2857,0.0952
Portugal Primerira Liga,Estoril,Boavista,6,1.33,1.17,0.5,0.3333,0.1667,0.3333,0.1667,0.0,0.1667,0.1667,0.8333,0.6667,0.5,0.1667,0.1667
Portugal Primerira Liga,Portimonense,Boavista,5,1.0,1.4,0.4,0.0,0.6,0.6,0.4,0.2,0.0,0.6,1.0,0.8,0.6,0.0,0.0
Portugal Primerira Liga,Vizela,Boavista,1,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
Portugal Primerira Liga,Benfica,Boavista,22,2.27,0.91,0.5909,0.3182,0.0909,0.5909,0.3182,0.0455,0.2273,0.3636,0.9091,0.8636,0.5909,0.4091,0.2273
Portugal Primerira Liga,Arouca,Boavista,4,1.25,1.5,0.25,0.25,0.5,0.75,0.25,0.5,0.0,0.75,0.75,0.75,0.75,0.25,0.25
